VERB,DIR,GOAL,INSTR,FIN,INF,PART,GERUND,IMPER,A1.anim,A2.anim,FORM
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,y,n,y,n,n,n,n,y,n,finit
наклониться,y,n,n,n,n,n,y,n,y,y,gerund
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,y,n,n,n,n,n,y,n,y,n,gerund
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,y,n,n,n,n,y,n,finit
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,n,n,n,y,n,n,n,y,-,inf
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,n,n,n,y,n,y,y,gerund
наклониться,n,n,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,y,n,n,n,n,y,n,finit
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,n,n,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,n,n,n,n,n,n,n,y,y,-,imper
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,n,n,n,n,n,y,n,n,n,-,partic
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,n,n,n,n,n,n,y,n,n,-,gerund
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,n,n,n,y,n,n,n,y,-,inf
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,n,n,n,y,n,y,y,gerund
наклониться,n,n,n,y,n,n,n,n,y,n,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,n,-,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,n,n,n,y,n,y,y,gerund
наклониться,n,n,n,n,n,n,y,n,y,n,gerund
наклониться,n,n,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,y,n,n,n,n,n,y,n,y,n,gerund
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,n,n,n,n,y,y,n,imper
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,n,n,n,n,y,y,-,imper
наклониться,y,n,n,n,n,n,y,n,y,y,gerund
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,n,n,n,y,n,y,n,gerund
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,n,n,n,n,y,n,n,n,y,-,inf
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,n,n,n,y,n,n,n,n,n,n,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,n,n,n,y,n,y,n,gerund
наклониться,y,n,n,n,n,n,y,n,y,y,gerund
наклониться,n,n,n,y,n,n,n,n,y,-,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,y,n,n,n,n,n,y,n,y,y,gerund
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,n,n,n,y,n,y,y,gerund
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,n,n,y,n,n,y,n,partic
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,n,n,n,y,n,y,n,gerund
наклониться,n,n,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,y,n,n,y,n,n,n,y,-,inf
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,y,y,n,n,n,n,y,n,y,y,gerund
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,n,n,n,y,n,y,n,gerund
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,y,y,n,y,n,n,n,n,y,y,finit
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,y,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,n,n,n,n,n,n,y,y,-,imper
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,y,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,y,n,n,n,n,y,n,y,n,gerund
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,y,n,n,y,n,n,n,y,-,inf
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,n,y,n,n,n,y,-,inf
нагнуться,n,n,n,n,y,n,n,n,y,-,inf
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,n,y,n,n,n,y,-,inf
нагнуться,y,n,n,n,n,n,y,n,y,n,gerund
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,n,n,n,n,y,n,n,n,y,-,inf
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,y,y,n,y,n,n,n,n,y,n,finit
нагнуться,y,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,n,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,n,n,n,n,y,n,n,n,y,-,inf
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,y,n,n,n,y,-,inf
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,n,n,n,n,n,y,n,y,n,gerund
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,y,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,y,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,n,n,y,n,n,y,n,partic
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,y,y,n,y,n,n,n,n,y,y,finit
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,y,finit
нагнуться,n,y,n,n,n,n,y,n,y,-,gerund
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,y,y,n,y,n,n,n,n,y,y,finit
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,y,y,n,y,n,n,n,n,y,y,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,n,y,n,n,n,y,-,inf
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,y,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,n,n,n,y,y,-,imper
нагнуться,y,n,n,n,n,n,y,n,y,n,gerund
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,n,finit
нагнуться,y,n,n,y,n,n,n,n,y,n,finit
нагнуться,y,y,n,n,n,n,y,n,y,y,gerund
нагнуться,y,y,n,y,n,n,n,n,y,y,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,n,finit
нагнуться,n,n,n,n,n,n,y,n,y,-,gerund
нагнуться,n,n,n,y,n,n,n,n,y,-,finit
нагнуться,n,n,n,n,y,n,n,n,y,-,inf
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,y,n,n,n,n,n,y,n,y,-,gerund
нагнуться,y,n,n,y,n,n,n,n,y,y,finit
нагнуться,y,n,n,n,n,n,y,n,y,n,gerund
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,n,y,n,y,n,n,n,n,y,-,finit
нагнуться,y,y,n,y,n,n,n,n,y,n,finit
нагнуться,y,n,n,n,n,n,y,n,y,y,gerund
нагнуться,y,n,n,n,n,n,y,n,y,n,gerund
нагнуться,n,y,n,n,n,n,n,y,y,-,imper
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,n,n,n,y,n,n,n,n,y,-,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,n,n,n,y,n,y,y,gerund
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,n,n,n,y,n,y,y,gerund
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,y,n,n,y,n,n,n,n,y,n,finit
покоситься.1,y,n,n,y,n,n,n,n,n,n,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,n,n,n,y,n,n,n,n,y,-,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,n,n,n,y,n,y,y,gerund
покоситься.2,n,n,n,n,n,n,y,n,y,-,gerund
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,n,n,n,y,n,n,n,n,y,-,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,y,n,n,n,n,n,-,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,n,n,n,y,n,n,n,n,y,-,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,n,n,n,y,n,y,y,gerund
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,n,n,n,y,n,y,n,gerund
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,n,n,n,y,n,n,n,n,y,-,finit
покоситься.2,y,n,n,n,n,n,y,n,y,y,gerund
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,n,y,n,n,-,gerund
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,n,n,n,y,n,y,n,gerund
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,y,n,n,n,n,n,-,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,n,n,n,y,n,n,n,n,y,-,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,n,n,n,y,n,y,y,gerund
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,n,n,n,y,n,y,-,gerund
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,n,n,n,y,n,y,y,gerund
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.1,n,n,n,n,n,y,n,n,n,-,partic
покоситься.2,y,n,n,y,n,n,n,n,y,y,finit
покоситься.2,y,n,n,y,n,n,n,n,y,n,finit
